LTspice 24.1.8 for Windows
Circuit: C:\Users\sweeks\Downloads\nerf_crossbar_latency_256x256_ADCcap_FULL.net
Start Time: Mon May 26 14:18:35 2025
solver = Normal
Maximum thread count: 8
tnom = 27
temp = 27
method = trap
.OP point found by inspection.
Total elapsed time: 0.770 seconds.

Files loaded:
C:\Users\sweeks\Downloads\nerf_crossbar_latency_256x256_ADCcap_FULL.net

latency_y129=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y130=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y131=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y132=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y133=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y134=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y135=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y136=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y137=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y138=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y139=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y140=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y141=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y142=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y143=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y144=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y145=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y146=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y147=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y148=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y149=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y150=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y151=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y152=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y153=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y154=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y155=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y156=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y157=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y158=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y159=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y160=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y161=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y162=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y163=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y164=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y165=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y166=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y167=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y168=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y169=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y170=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y171=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y172=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y173=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y174=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y175=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y176=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y177=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y178=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y179=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y180=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y181=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y182=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y183=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y184=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y185=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y186=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y187=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y188=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y189=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y190=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y191=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y192=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y193=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y194=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y195=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y196=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y197=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y198=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y199=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y200=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y201=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y202=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y203=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y204=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y205=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y206=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y207=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y208=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y209=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y210=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y211=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y212=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y213=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y214=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y215=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y216=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y217=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y218=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y219=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y220=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y221=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y222=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y223=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y224=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y225=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y226=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y227=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y228=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y229=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y230=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y231=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y232=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y233=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y234=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y235=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y236=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y237=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y238=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y239=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y240=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y241=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y242=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y243=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y244=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y245=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y246=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y247=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y248=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y249=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y250=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y251=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y252=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y253=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y254=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y255=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
